id,xcenter,ycenter,xworld,yworld,semimajor,semiminor,a_hl,b_hl,a_hl_90,b_hl_90,angle,F160W_inner,F160W_outer,F160W_90
283.0,572.9560516664102,1718.2685522979343,36.14065809043243,-3.3861316930564223,11.093036083564176,8.046128614336961,3.8198453738192555,2.7706542134274463,8.17687401673877,5.93094437864402,-78.87917503211348,1.6910572598688305,3.3820261981627846,3.0375265539184326
284.0,2801.6589382196353,1722.662226792345,36.1003472485197,-3.3860524657635787,13.313470067729058,6.835861594674184,4.653961440562307,2.3895976115009248,9.429701910202613,4.84172321785789,58.08638355028414,1.9016019800305364,3.782541630173218,3.42172648569569
285.0,1728.1295331820756,1722.5309916774872,36.11976431529291,-3.3860549944456375,16.185057716628773,5.309011470795136,6.299305825675022,2.066293952859704,11.858301049917227,3.8897517327646454,68.57166961890641,1.3672959805652498,2.7640580793842675,2.449427811554633
286.0,1935.1113910585427,1727.0196093417287,36.11602060740755,-3.385973949464917,19.167558874925067,10.094554030510878,7.386525640402371,3.8900979859433034,14.435910170240236,7.602641324541711,-21.08935396659382,3.5702767230942842,7.162887623986863,6.420641715160855
287.0,2552.9314768616614,1733.4668289189528,36.10484601710815,-3.3858574540848343,11.823416483457882,8.60782062416191,3.9911794766660478,2.9057047142037375,8.644898092327248,6.293758846863302,88.16889653540514,2.75999929189682,5.557499277192109,4.975717342208082
288.0,1211.1969512992553,1738.7134646608988,36.12911413931921,-3.385762749164528,12.213418771993556,10.107624936722337,6.594097426027928,5.45716681158369,11.238908656747887,9.301136358394688,-82.97992390332101,2.8369783915020523,5.649068828444287,5.097813903172501
289.0,1236.4987608701806,1779.4927922832062,36.128656494219044,-3.3850264608884473,41.33085791506706,32.319343422869004,11.002843659418192,8.603854378915239,29.07765606181108,22.73775091058901,-58.278252253506245,420.23487457394594,840.8429525790737,756.5862667618691
290.0,658.3217879953564,1745.9436872819363,36.13911405834283,-3.3856320379007343,13.761834030479788,7.943728465678432,5.048974346342883,2.9144139617360154,9.809496852469207,5.66232518197474,11.854976977651129,2.2650731310248378,4.537549064124032,4.070188307770586
291.0,2093.3913253624764,1752.6200283810933,36.11315778001933,-3.385511709573894,17.64031486866239,10.420717124198097,6.319165835225398,3.7329401498814683,12.056777926816752,7.122337279128162,-37.502102758695365,4.919998188987374,9.840088646975346,8.848838469736219
292.0,1372.8774535733808,1752.8740117535351,36.12618980164126,-3.3855071016050635,11.913288970192552,8.207186702832624,4.466393063903678,3.076943894789254,8.786374426420679,6.05302326998477,4.5020054131221245,1.9552631291002034,3.918634162681683,3.519352828919928
293.0,1425.7557796142032,1756.8360356566936,36.12523338443716,-3.385435572631593,10.452732300011652,6.315763026796084,3.8647694320762067,2.33517583590765,6.985592202436013,4.220843286340665,-64.91211025147827,1.5677563682943583,3.1437681508355313,2.819415578069165
294.0,1327.5575824595765,1769.1775225130698,36.12700950488342,-3.3852127254338953,8.852849474358646,8.451926090024392,2.625439092964667,2.5065395307882636,5.846256653679893,5.581494329405787,34.37353628764568,4.677607339024544,9.391760290586681,8.435155556406825
295.0,2741.4170049334793,1769.60712432363,36.10143686672401,-3.3852048688115417,12.783869841739184,9.510806749445836,4.398292784603779,3.272194822045966,8.582175790670151,6.38487535036823,10.226310630854162,4.655985235497355,9.33839035275654,8.393916712799111
296.0,803.956782559667,1771.3190111635633,36.13647993178098,-3.3851739259594713,10.27558722059523,8.844646199381241,3.74232234045907,3.221180099474984,7.420294814301159,6.386971461451461,64.56485793566715,1.6744491707533598,3.3623159626021515,3.016108695867006
297.0,2494.713949264116,1784.0011276421556,36.10589901635431,-3.384945042985697,11.086307608306695,8.56566326215986,3.9588110682956,3.0587138412183013,7.418190602800817,5.731549670379003,18.860249712755746,2.419041715413332,4.874861889929798,4.362044872205642
298.0,954.3251859063053,1785.7603728407619,36.133760197191485,-3.384913227008264,17.645195711884124,11.55915301287067,9.378242832632639,6.143572769853006,14.913406102969653,9.769590879131053,-60.891366326580915,4.333689435250125,8.376131584860195,7.1811797988152835
299.0,852.1393012195585,1792.769039875285,36.13560844206992,-3.3847866499578276,41.21003521416329,19.309971002499644,22.227613942855275,10.41529274267102,36.93085946493018,17.304858432154347,-88.9586272710517,13.114186194784196,26.481995552748714,23.14184051768986
300.0,940.5201307053488,1789.1066751740257,36.13400988972499,-3.384852803589161,23.477874141283777,12.40870346497258,11.648505886554453,6.156556359678061,19.330683969149916,10.216799174610635,50.12409018191701,8.024898763615639,15.557340647863166,13.249643014469184
301.0,1297.1288322075002,1792.1327121925858,36.12755986910255,-3.384798251498776,11.947340714510837,9.490765231467215,4.600471747673075,3.65453688435724,10.149008531628871,8.06220058567997,-44.837415872355265,2.7099446007981896,5.421289620068274,4.8659684140229365
302.0,842.5713594141298,1806.502846840249,36.135781493890505,-3.384538675313315,15.334072390737422,8.062894868893672,7.33407748829779,3.8563725435511045,11.687802042345378,6.145628944128103,-52.30803920969295,2.3857660152204336,4.712828835963155,3.6409414971509255
303.0,1034.6260949294735,1811.705268267491,36.13230777899229,-3.3844447999610443,17.260518953408397,11.26075156471076,8.521303262800657,5.5592928178448044,14.912169492483612,9.728689873056087,68.64355983574038,4.05243739483878,8.137882760490466,7.293484973382437
304.0,1395.1873239317533,1818.2494780308548,36.125786270839185,-3.384326714580044,21.544472935956357,10.724406236294051,6.953032687266159,3.4610801264033593,13.641673869117936,6.790551467671066,-74.16266694791682,10.439257921576498,20.887672281407212,18.785227562403307
305.0,2246.4610520047963,1811.6654592086145,36.11038919777222,-3.384445593747188,8.908150900252357,6.132118070032306,3.1270809841498926,2.1525937339944186,6.070368060672059,4.178668962100718,-82.26734280741539,1.0970692299306395,2.205788481912168,1.972440237889532
306.0,1286.0473356618388,1816.8262245740423,36.127760296827795,-3.3843523944414002,8.220961760264272,8.172262932738771,2.947349417048859,2.929890089891785,6.763820809283472,6.723753703680721,-10.380072293429368,1.4692041316628455,2.9549206373516794,2.6466664775185196
307.0,2161.820581074771,1817.672875573521,36.1119200992027,-3.3843371373223228,9.992807327848055,6.642107383855542,3.6698146244857193,2.43928477903785,7.0576868428481685,4.691165590792699,21.91509029893266,2.2294322852790356,4.509099722752353,4.010793161876499
