id,xcenter,ycenter,xworld,yworld,semimajor,semiminor,a_hl,b_hl,a_hl_90,b_hl_90,angle,lmass,F160W_inner,F160W_outer,F160W_90,F625W_inner,F625W_outer,F625W_90,F475W_inner,F475W_outer,F475W_90
295.0,1836.7683,1203.525,36.117799,-3.395426,12.5367,8.4123,3.7637,2.5255,8.4563,5.6743,-79.2163,10.74,12.4519,24.9272,22.3857,0.140768143858877,0.361336997680446,0.14752825518778992,-0.05167547410179395,-0.1897818968408683,-0.08175692654243905
303.0,1841.2276,921.3901,36.117719,-3.40052,17.305,16.9622,4.6741,4.5815,12.7241,12.472,50.9471,10.79,25.168,50.3348,45.2856,0.3874320159535273,-0.09542180778589682,0.15928011790339947,0.07282082068457384,-0.8675070537506497,-0.2356440323306015
309.0,1842.4192,833.5655,36.117697,-3.402106,22.6345,15.4302,8.1999,5.59,15.767,10.7486,-30.0631,9.68,9.4329,18.8814,16.9829,2.260710204460229,4.008886920008741,4.212009065343141,2.0420382396198695,3.7061334117762934,3.8395983780028358
314.0,1635.4131,2070.6043,36.121441,-3.37977,14.9585,6.9353,5.37,2.4897,10.0436,4.6565,4.1275,9.81,2.7997,5.6058,5.0353,0.411883819042705,0.7807472842108109,0.5522549006457849,0.2763627622532658,0.1524606275869883,0.2695964854204794
337.0,1510.292,2239.8306,36.123704,-3.376715,8.9013,7.263,3.1664,2.5836,6.0292,4.9195,-52.9214,8.17,2.4723,4.9602,4.454,2.4406856390461327,3.783727196489163,3.503443701355718,2.9440376005321744,4.38286682415478,4.172341172685265
356.0,1452.4959,2213.5601,36.12475,-3.377189,17.0579,11.5952,6.1482,4.1792,12.5022,8.4984,-2.747,9.53,4.9397,9.9115,8.8894,2.285596846276894,5.5283400798199,4.512622364035633,2.019432758416515,4.719932448665349,3.8926199853239813
366.0,1565.8107,1447.8242,36.1227,-3.391015,20.9818,8.7801,9.1852,3.8437,17.0359,7.1289,-14.1012,10.22,3.2158,6.4661,5.7942,0.4918154946318828,0.9684411669080146,0.8726753633859334,0.11508513318876794,0.20650950198668627,0.16523500853832956
376.0,1558.036,1387.8817,36.122841,-3.392097,10.5344,8.5417,3.3931,2.7512,7.5605,6.1303,60.9615,9.29,2.4338,4.8587,4.3839,3.6435582891106604,5.57325010138411,5.270673154316755,4.267293919920921,6.578702585158826,5.974418770272241
390.0,1507.3607,1348.8454,36.123757,-3.392802,14.1954,7.6679,4.7486,2.5651,9.5203,5.1426,62.3222,9.42,4.5685,9.1495,8.2065,3.5389150918088856,6.17937949018029,5.576860541569767,3.6251940985582767,6.332534102038917,5.772150787576102
396.0,1495.3514,1278.2616,36.123975,-3.394077,30.82,24.0832,10.0928,7.8867,22.4383,17.5336,-8.5079,11.02,39.2388,78.5337,70.6426,1.2629025918412662,3.8666918113881183,2.8806967003520914,0.40285528408101523,1.6154038413031957,1.1666558962575073
404.0,1527.8095,1098.9161,36.123388,-3.397315,16.2318,7.6102,5.5767,2.6146,10.5998,4.9697,-31.2695,9.73,5.6614,11.3759,10.2077,2.621402507331222,3.798272260597259,3.65660120425222,2.447402877382701,3.804322351742485,3.4014382263412695
406.0,1554.9013,892.3835,36.122898,-3.401044,16.0985,15.1429,5.2701,4.9573,11.6644,10.972,-36.3826,10.33,11.349,22.6828,20.4006,0.4612448549340479,0.7906830232419088,1.1370573604491074,0.38222867778735237,0.8636830244028171,0.874479884299544
419.0,1376.6247,1700.3808,36.126122,-3.386455,29.2778,21.1839,13.0358,9.432,22.5881,16.3435,89.7303,10.45,11.1714,21.9057,19.1413,0.9060397756822931,3.8381179795146094,2.6642009442964443,0.38150461688234827,1.0245166156543837,0.8561447955921266
424.0,1443.9273,1245.3782,36.124905,-3.39467,52.8441,16.9488,19.8054,6.3522,36.2792,11.6359,81.4578,10.76,19.9536,39.9177,35.9123,0.22408628259824126,2.7130274834822603,1.5480373284457118,0.09684777091811157,1.396721289324573,1.1196870573185835
483.0,1367.5365,1044.1156,36.126287,-3.398304,13.2125,12.4296,3.9611,3.7264,9.3501,8.796,40.1164,10.46,16.3359,32.6881,29.385,0.31616593583596114,0.7504127875885388,0.5774038694354748,0.05665777618240098,0.2642292815164547,0.0369605057942681
487.0,1280.1288,1466.9342,36.127867,-3.39067,19.7355,10.2002,7.0373,3.6372,14.9676,7.736,80.6666,9.26,4.5,9.0131,8.0972,2.4052702500764287,4.624310252209561,4.0502227915785625,2.2615746665187175,3.435784238981414,3.4602456629095832
504.0,1348.8273,643.8441,36.126625,-3.405531,18.6332,12.2469,6.3387,4.1662,13.589,8.9316,7.3326,10.13,7.2381,14.512,13.0326,1.6249195711978246,2.4865504765601694,2.2581895609105413,1.1112114061665488,2.0707233181044193,1.7691713309453099
506.0,1309.1719,746.4604,36.127342,-3.403678,31.5477,9.8707,11.5365,3.6095,21.9724,6.8747,-1.0391,10.2,6.399,12.8576,11.5245,0.4444969915904948,0.5409962638552497,0.5563378810862378,0.451040874748578,1.1271784383522185,0.804000229633093
517.0,1299.8889,559.2641,36.12751,-3.407058,13.5007,11.2774,3.9124,3.2681,9.5042,7.939,64.8579,10.73,22.6783,45.4084,40.7984,0.3545369063032558,-0.196425237054209,0.2471371947211446,0.07185131957114206,0.4776730500485792,0.3155150213133311
528.0,1240.2981,769.7327,36.128588,-3.403258,16.3491,8.9659,5.9166,3.2447,12.5606,6.8883,85.7571,8.82,2.5864,5.1177,4.6617,1.2689927858032752,2.2092811233618703,2.094420939118718,0.6138931702077389,1.1108113024429018,0.9798239943584122
541.0,1009.3263,1893.5885,36.132765,-3.382966,30.0432,12.0484,9.9371,3.9851,20.4468,8.1999,11.3843,9.61,12.182,24.4236,21.9444,4.450753914728994,9.37762230854467,7.747788348448666,4.06656371974037,8.231979065180331,6.915057352355648
549.0,1127.7609,1043.8834,36.130623,-3.398308,29.2584,13.0059,10.7644,4.785,20.7118,9.2068,9.2119,9.93,8.8802,17.7761,15.9892,0.7689937694638501,2.4534531578356473,2.1245825267274627,0.7266385222045938,3.0750883755483303,2.6282871531364074
554.0,1009.3263,1893.5885,36.132765,-3.382966,30.0432,12.0484,9.9371,3.9851,20.4468,8.1999,11.3843,9.61,12.182,24.4236,21.9444,4.450753914728994,9.37762230854467,7.747788348448666,4.06656371974037,8.231979065180331,6.915057352355648
556.0,952.506,1970.0236,36.133793,-3.381586,23.6891,15.3605,7.1123,4.6118,18.452,11.9646,-46.1313,10.64,17.8145,35.6274,32.0656,0.7597592034705304,3.642422839190858,2.5113369858659826,0.389511469686513,0.8539185090454224,0.7052732421085965
577.0,873.9384,1871.1524,36.135214,-3.383371,35.1511,21.9803,14.0101,8.7606,31.341,19.5978,44.6258,10.62,19.7044,39.3813,35.4713,1.1265918793238963,5.527344508939632,4.3986883788067646,0.4068050266506361,1.6903856270305457,1.1430575229448823
593.0,866.4736,1832.3926,36.135349,-3.384071,25.6093,21.6368,8.5979,7.2642,17.4509,14.7439,-26.0653,9.62,13.0554,26.1088,23.4818,4.571783174891025,11.001636813142738,9.233468596517042,4.0009352256637065,8.179637835029315,7.7675742275515125
617.0,803.9568,1771.319,36.13648,-3.385174,10.2756,8.8446,3.7423,3.2212,7.4203,6.387,64.5649,8.89,1.6744,3.3623,3.0161,1.0238514808844774,2.1552888957476535,1.7330224026992802,1.0621398467011751,1.9449382498374324,1.7876139769732255
3656.0,2527.5913,312.7645,36.105304,-3.411509,24.9277,20.0367,7.4364,5.9773,16.4897,13.2543,-47.4594,10.99,42.9842,85.6029,76.8381,2.224586770028691,6.178822971606805,4.583335876065302,1.2199774455447914,3.673688709316084,2.5641985561793263
3718.0,2575.9334,337.6474,36.10443,-3.41106,17.5046,14.0452,5.7526,4.6157,13.7755,11.0531,45.4515,10.01,8.2907,16.6401,14.915,1.2274459091556489,2.125174656516392,1.938009837565769,1.0913183067934005,2.422920503626565,2.253208816832175
3832.0,2778.9761,597.5593,36.100757,-3.406367,7.1399,6.2846,2.7615,2.4307,5.0137,4.413,-68.7512,8.65,1.2943,2.6246,2.327,0.725711897481233,1.0704358215536922,0.9868151008954736,0.8147023558290674,1.0059618148695153,1.0083783419581598
4157.0,702.5962,1462.9379,36.138313,-3.390742,10.6129,7.8484,4.3616,3.2255,8.7651,6.482,-30.0972,8.83,1.6137,3.2451,2.9036,0.7564565429929644,1.6785926472793653,1.4230200412496194,0.7623735204688273,1.5300924201181623,1.38135298570327
4938.0,1452.0666,2593.5176,36.124757,-3.370329,12.6889,10.727,4.1088,3.4735,10.6495,9.0029,44.7892,10.17,3.4939,7.0093,6.2843,0.35101044727154657,1.214952710098387,0.9085227619118268,0.0,0.0,0.0
5099.0,1640.6527,2361.9008,36.121346,-3.374511,10.1636,8.1704,4.3828,3.5232,8.7406,7.0264,12.9447,8.85,1.6159,3.2198,2.8731,0.8483054149476812,1.4953403964962124,1.4630726074488485,0.7153731666249222,1.3427347408927017,1.1702384937807073
5122.0,944.0396,2336.3785,36.133946,-3.374972,9.6247,6.2072,3.2901,2.1218,7.239,4.6686,48.6879,9.48,2.2041,4.431,3.9508,0.7703882588539273,1.8735086483095071,1.5424592321820092,0.6359000612352974,1.2758162215186166,1.1776905654126315
5233.0,2845.8188,1314.3776,36.099548,-3.393424,7.3947,6.5006,2.5989,2.2847,4.8977,4.3055,40.5069,8.98,1.0265,2.075,1.8456,0.3896203307050747,0.46374785750747827,0.4728033025522017,0.48433480110019445,0.6839788564626361,0.6424064635374818
5253.0,2846.0862,1362.9506,36.099544,-3.392547,11.2166,8.8155,3.4156,2.6845,7.2349,5.6862,-48.4426,10.56,7.9695,15.9762,14.3516,0.2295944246812724,0.16360834113688724,0.2673409231373808,0.15506265330011956,0.06954751736564503,0.2082313375569356
5348.0,2991.1561,1381.7923,36.09692,-3.392207,13.4421,10.0041,4.0667,3.0266,9.4053,6.9998,-79.8105,9.36,4.7736,9.5177,8.5746,1.4419030793756245,2.682213575707901,2.401782470698672,1.4511844239477067,2.8693450525077058,2.5191148328236883
